VB40					
T	t	T Charpy	J	Exp Lateral	Fibrosidade
620	4	-40	31.7	0.36	56.0%
620	4	-40	31.2	0.27	45.0%
620	4	-40	30	0.26	45.0%
620	4	-40	27.5	0.28	41.0%
620	8	-40	75.1	0.82	100.0%
620	8	-40	74.7	0.81	100.0%
620	8	-40	72.6	0.75	100.0%
620	8	-40	74.7	0.83	100.0%
620	16	-40	89.6	1	100.0%
620	16	-40	94.3	1.06	100.0%
620	16	-40	91.3	1.05	100.0%
620	16	-40	90.2	1.03	100.0%
620	32	-40	94.9	1.06	100.0%
620	32	-40	100.2	1.13	100.0%
620	32	-40	100.1	1.1	100.0%
620	32	-40	97.2	1.08	100.0%
580	4	-40	20.3	0.23	27.0%
580	4	-40	23.8	0.27	33.0%
580	4	-40	24	0.26	41.0%
580	4	-40	20.3	0.2	24.0%
580	8	-40	31.7	0.32	58.0%
580	8	-40	34.7	0.35	61.0%
580	8	-40	35.5	0.35	57.0%
580	8	-40	23.3	0.2	41.0%
580	16	-40	67.2	0.7	100.0%
580	16	-40	56.6	0.54	88.0%
580	16	-40	50.8	0.48	80.0%
580	16	-40	55.3	0.54	92.0%
580	32	-40	66.2	0.55	84.0%
580	32	-40	62.4	0.74	100.0%
580	32	-40	64.3	0.73	98.0%
580	32	-40	62.3	0.72	100.0%
